Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	mzML/FUS-Neurite-NT_1	mzML/FUS-Neurite-NT_2	mzML/FUS-Neurite-NT_3	mzML/FUS-Neurite-NT_4	mzML/FUS-Neurite-NT_5	mzML/FUS-Neurite-NT_6	mzML/FUS-Soma-NT_1	mzML/FUS-Soma-NT_2	mzML/FUS-Soma-NT_3	mzML/FUS-Soma-NT_4	mzML/FUS-Soma-NT_6	mzML/FUS-Neurite-KD_1	mzML/FUS-Neurite-KD_2	mzML/FUS-Neurite-KD_3	mzML/FUS-Neurite-KD_4	mzML/FUS-Neurite-KD_5	mzML/FUS-Neurite-KD_6	mzML/FUS-Soma-KD_1	mzML/FUS-Soma-KD_2	mzML/FUS-Soma-KD_3	mzML/FUS-Soma-KD_4	mzML/FUS-Soma-KD_5	mzML/FUS-Soma-KD_6	mzML/FUS-Soma-NT_5	mzML/HNRNPA1-Neurite-NT_1	mzML/HNRNPA1-Neurite-NT_2	mzML/HNRNPA1-Neurite-NT_3	mzML/HNRNPA1-Neurite-NT_4	mzML/HNRNPA1-Neurite-NT_5	mzML/HNRNPA1-Neurite-NT_6	mzML/HNRNPA1-Soma-NT_1	mzML/HNRNPA1-Soma-NT_2	mzML/HNRNPA1-Soma-NT_3	mzML/HNRNPA1-Soma-NT_4	mzML/HNRNPA1-Soma-NT_5	mzML/HNRNPA1-Soma-NT_6	mzML/HNRNPA1-Neurite-KD_1	mzML/HNRNPA1-Neurite-KD_2	mzML/HNRNPA1-Neurite-KD_3	mzML/HNRNPA1-Neurite-KD_4	mzML/HNRNPA1-Neurite-KD_5	mzML/HNRNPA1-Neurite-KD_6	mzML/HNRNPA1-Soma-KD_1	mzML/HNRNPA1-Soma-KD_2	mzML/HNRNPA1-Soma-KD_3	mzML/HNRNPA1-Soma-KD_4	mzML/HNRNPA1-Soma-KD_5	mzML/HNRNPA1-Soma-KD_6	mzML/TDP43-Neurite-NT_1	mzML/TDP43-Neurite-NT_2	mzML/TDP43-Neurite-NT_3	mzML/TDP43-Neurite-NT_4	mzML/TDP43-Neurite-NT_5	mzML/TDP43-Neurite-NT_6	mzML/TDP43-Soma-NT_1	mzML/TDP43-Soma-NT_2	mzML/TDP43-Soma-NT_3	mzML/TDP43-Soma-NT_4	mzML/TDP43-Soma-NT_5	mzML/TDP43-Soma-NT_6	mzML/TDP43-Neurite-KD_1	mzML/TDP43-Neurite-KD_2	mzML/TDP43-Neurite-KD_3	mzML/TDP43-Neurite-KD_4	mzML/TDP43-Neurite-KD_5	mzML/TDP43-Neurite-KD_6	mzML/TDP43-Soma-KD_1	mzML/TDP43-Soma-KD_2	mzML/TDP43-Soma-KD_3	mzML/TDP43-Soma-KD_4	mzML/TDP43-Soma-KD_5	mzML/TDP43-Soma-KD_6
A1A5C7	A1A5C7	S22AN_HUMAN	SLC22A23	Solute carrier family 22 member 23	319379	258678	321490	361639	294462	299709		29738.5	250252	353388		326772	322848	293523	300246	306682	267243				148866			294214	315523	447265	339660	244193	288105	211629	143507	211128	314461			219117	189894	229001	271332	187089	245928	196702	146989	127012		208828		232015	338582	368976	358752	354733	393107	281555							520122	490509	504404		357557	425400						
A1L020	Q6ZN04;Q86XN8;Q5U5Q3;A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	509149	524002	425508	341246	325526	423004	1887040	1955100	1841750	1970450	2032550	387020	308161	372768	355414	308203	370233	1901350	1931300	1825290	2002840	821705	2021850	1877690	420483	675328	440530	554476	556486	496442	1861960	1922070	1783830	1896240	1916330	1957460	645785	720568	692878	724660	652819	733906	1874360	1797830	1926260	1869100	1886080	1908980	517127	495611	505479	560228	656477	518632	1893030	1474890	1928550	1920470	2013550	817767	588813	542226	508684	501208	602944	547630	1975320	2062590	1877380	2084400	1895160	1393970
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1611290	1820290	1852010	1756820	1995560	2076390	1052420	1337210	1238880	1452650	1325590	2075080	2296400	2096270	2100650	2198820	2232880	1110390	1249740	1519220	1399280	1194080	1155810	881830	1683910	1943310	1593960	1846900	2150160	1582920	1310880	1184720	1291590	1149720	1090690	1334630	2226770	2235130	2025890	1903170	1984150	1924440	1362940	1299760	1321420	1310570	1185520	1147720	1422390	1400230	1449020	1564590	1582140	1653670	1506420	1697950	1126090	1118570	1000680		1450430	1399000	1446990	1440600	1476200	1555830	1071880	814420	1366220	1471010	1239780	795342
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3372000	3335760	3467940	3314840	3460930	3535950	2553370	2694800	2701330	2635720	2641830	3313760	3183050	3355250	3314510	3461650	3343490	2618070	2680710	2554900	2621600	1312290	2576420	2894100	3635580	3246900	3553270	3412240	3499130	3531550	3059950	3032500	2823160	2773640	2910890	3184900	3162140	2916300	3159920	3274630	3383220	2933530	3040490	3100320	3368530	3160690	3252410	3303920	3631000	3349210	3302090	3294390	3523940	3460670	2610550	2232540	2528620	2483730	2801780	1901160	3252860	3043960	3123920	2977240	2980360	3127460	2273410	2078320	1955960	1961750	2275720	1335630
A1Z1Q3	A1Z1Q3	MACD2_HUMAN	MACROD2	ADP-ribose glycohydrolase MACROD2	309316	250210	248809	253353	248639	254520	3760940	410764		326748		129882	179439		211715		129587	454317	435000					542667	262900	450837	320847	240280	256612	299035		643621		426366			208573	230398	205414	197833	251308				454386			376816	253954	308242	309125	272166	280148	237391	290429	246686	236841	190042	187636		277384	241914	276967	267318	247259	251122	215989	132204	147403	196994	227435	
A2AJT9	A2AJT9	BCLA3_HUMAN	BCLAF3	BCLAF1 and THRAP3 family member 3							61598.5	38414.1	56042.5		40709.9							81569.5		69059.2	140552		67228.3	33954.6																																	129767		115269								99837.2	67529.5	88018.4			
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	716428	732261	657732	667484	689562	701249	752686	601417	687826	766434	806164	712056	652525	588921	697951	591332	580421	660533	765751	690291	803750	267088	694105	785476	712680	649834	683319	673630	648546	655900	629574	711805	785405	764826	753817	751554	738566	721632	662922	728250	663456	737088	748356	788884	715002	767652	699597	695814	745381	759567	815070	622365	793767	781183	878034	703839	961670	925466	761298		625136	807242	705648	632888	855017	626951	852457	840218	852982	848985	714899	
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic				185253				262359							160260		180184			200330	92562.9		224119	185025													166678									150181			120254	138128	105283	153526	130465	112775		133081		144752			72095	93682		71608.7	147254							
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B		36369	58668.9	80084.2			173667	159738	158298	153641	215820		52965.9			60822		192736	95181.8	88804.1	189707	159277	71230.9	195418					32089.5		114555	216008	244936	147523	68764		72253.4				33004.9		192716	86857.5		170380	126025	169003	206753		171864	142211	188559	130438	240406	418869	316698	268193	257957	550425		120497		117246	218925	152133	240096	333743	243526	309495	276201	770180
A2RUB1	A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC		104020		76216.3						177350		78587	68172.8	136820	159746		117493	163587	125270						152576			122817		134575	206161		170140			170801			119983	74584.6	124069						103994							53591.5																		
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	149101	152351	117238	87463.1	65064.6	103233	386586	261226	320912	281934	320190	154860	140065	151799	142130	127951	171209	290257	379037	331969	341959		315142	252596	89831.1	127025	106060	120773	126972	94284.3	221120	229914	301584	228149	273075	230730	334345	241143	210501	263081	246191	257330	400646	485409	464365	339814	389356	391726	95088.4		105544			31136.5	175899	107328	188519	113133									169045	189345	159974		160449	
A4D126	A4D126	ISPD_HUMAN	CRPPA	D-ribitol-5-phosphate cytidylyltransferase	134122	146696				193135						184107		198818		183905	308128						124098				175662	394314				127737			116902		214209	178750	211577	240332	260731	179331							137842	182727	136590	169516				149782																
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	80860.2			64108.1			287705	347310	357628	386740	316286	86699.2	145722				94970.4	360434	357126	344856	387910		336739	369700					159387		295321	334588	302033	350593	319210	243090			508127	159802			404928	365401	341049	367617	344059	285189				70415.9				280374	360164	116647	173433		87303.7	73385.8		82239.2	118495		381762	215610	241848	252429	311596	
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	489330	398183	415761	432651	377904	412407	342028	257045	364324	262736	329029	423146	322962	352595	380759	381194	335595	244971	259834	247653	255658		280661	291419	397521	336804	423005	367460	423867	342028	393994	351627		224756	288985	255665	416187	376259	482976	486106	417990	421096	329433	258072	248306	290532	205878	277321	479543	523033	512447	577998	514490	506104	316358	321908	404722	383072	353130		375022	390719	448336	480991	474322	478326	384836	476853	422101	413006	316867	
A5PKW4	A5PKW4	PSD1_HUMAN	PSD	PH and SEC7 domain-containing protein 1							153189	201898	193071	178831	193395							175704	193294	176374	169838	61411.9	136392	245326							309237	236465	192266	316781	193440	309534							239879	155710	196028	244781	206010	141895							123882	101378	244666	143438									136435	173481	178002	201872	172335	
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase 1	423522	562911	440785	431244	443932	399095	643425	947959	709600	664836	835826	535844	486755	411576	305512	429018	327313	795931	773644	791059	681644	258604	614036	635336	395391	468599	354632	408653	354365	388895	695329	634297	640516	552983	539118	491396	492122	467635	439578	532001	437391	461269	688814	798222	661109	618314	524166	621545	127461	134717	302442	266210	309167		580296	770872	744895	804224	638684		117620	188472		364143	204486	230610	764535	847561	935590	1144400	760517	
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	131655	121534	119019	118042	114313								162574	95216.5	60666.6					73767.6			22055		57465.7			138047		116312							42732.6	226810	98824.6	113585	153453	63170.1																														
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1495090	1531340	1549480	1386230	1383500	1339940	2094580	2198430	1998740	2102430	2263700	1317650	1367150	1525260	1328780	1341660	1585030	2067220	2154660	2171200	2210340	783459	2069940	2122770	1444370	1488160	1514700	1663180	1616980	1587590	2259070	2094780	1981400	2167400	2320640	2268690	2137860	2344980	1985990	2106480	2136940	2336570	2139730	2272940	2307530	2236010	2085870	2276090	1474280	1476930	1624440	1625610	1512540	1645480	2356360	1936470	2257140	2208130	2391050	736303	1037310	1121370	1100970	1025000	1248230	1184930	1682410	1633690	1602020	1584270	1468780	522226
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	8843150	7157350	6524940	6654000	10586400	9602960	6736150	7332940	6577300	8185140	6867160	9264220	7238570	6742030	7423560	7298810	4465740	6303100	7509480	6917800	7858080	6207050	9121930	9456780	9928040	10714500	9896910	8433140	8722500	9336570	10141500	9463890	9775180	8254630	9879940	8925260	6211840	5890020	6635540	6650740	8256830	7536010	8747450	8696730	9006560	7696710	8201270	9450950	12416100	11564700	11048900	11130500	11485600	12683600	12514100	8592940	11281800	10731400	11009600	2740920	13417200	12034700	13037100	13165700	11414000	13017700	10022500	10026300	9316400	9078740	6862130	2502840
A6NDB9	A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	24455.7		25372.2	12702			17855.3	13479.7				43671.3		24988.6	8678.42				8747.83			176510																																																		
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	2416840	2805520	2611750	2860260	2651180	2830380	1887720	1929410	1859030	1787530	2245880	2474330	2645960	2386530	2828010	2661580	2558580	1855560	2091290	1973060	2271010	1133460	1654800	1794100	2942770	2935330	2692880	2788020	2740470	2460770	2313860	2075040	2026060	1668730	2351690	2193890	2276050	2372880	2585830	2335970	2602300	2204450	2595120	1688530	2203590	1641190	1641950	1912000	2686190	2696520	2876370	2910210	2821740	2782800	2192000	2157380	2266920	2247270	2244170	1236170	3039500	2984460	3039640	2952090	2916940	3083060	2061670	2089760	2208130	1904070	2042740	1403670
