Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	mzML/FUS-Neurite-NT_1	mzML/FUS-Neurite-NT_2	mzML/FUS-Neurite-NT_3	mzML/FUS-Neurite-NT_4	mzML/FUS-Neurite-NT_5	mzML/FUS-Neurite-NT_6	mzML/FUS-Soma-NT_1	mzML/FUS-Soma-NT_2	mzML/FUS-Soma-NT_3	mzML/FUS-Soma-NT_4	mzML/FUS-Soma-NT_6	mzML/FUS-Neurite-KD_1	mzML/FUS-Neurite-KD_2	mzML/FUS-Neurite-KD_3	mzML/FUS-Neurite-KD_4	mzML/FUS-Neurite-KD_5	mzML/FUS-Neurite-KD_6	mzML/FUS-Soma-KD_1	mzML/FUS-Soma-KD_2	mzML/FUS-Soma-KD_3	mzML/FUS-Soma-KD_4	mzML/FUS-Soma-KD_5	mzML/FUS-Soma-KD_6	mzML/FUS-Soma-NT_5	mzML/HNRNPA1-Neurite-NT_1	mzML/HNRNPA1-Neurite-NT_2	mzML/HNRNPA1-Neurite-NT_3	mzML/HNRNPA1-Neurite-NT_4	mzML/HNRNPA1-Neurite-NT_5	mzML/HNRNPA1-Neurite-NT_6	mzML/HNRNPA1-Soma-NT_1	mzML/HNRNPA1-Soma-NT_2	mzML/HNRNPA1-Soma-NT_3	mzML/HNRNPA1-Soma-NT_4	mzML/HNRNPA1-Soma-NT_5	mzML/HNRNPA1-Soma-NT_6	mzML/HNRNPA1-Neurite-KD_1	mzML/HNRNPA1-Neurite-KD_2	mzML/HNRNPA1-Neurite-KD_3	mzML/HNRNPA1-Neurite-KD_4	mzML/HNRNPA1-Neurite-KD_5	mzML/HNRNPA1-Neurite-KD_6	mzML/HNRNPA1-Soma-KD_1	mzML/HNRNPA1-Soma-KD_2	mzML/HNRNPA1-Soma-KD_3	mzML/HNRNPA1-Soma-KD_4	mzML/HNRNPA1-Soma-KD_5	mzML/HNRNPA1-Soma-KD_6	mzML/TDP43-Neurite-NT_1	mzML/TDP43-Neurite-NT_2	mzML/TDP43-Neurite-NT_3	mzML/TDP43-Neurite-NT_4	mzML/TDP43-Neurite-NT_5	mzML/TDP43-Neurite-NT_6	mzML/TDP43-Soma-NT_1	mzML/TDP43-Soma-NT_2	mzML/TDP43-Soma-NT_3	mzML/TDP43-Soma-NT_4	mzML/TDP43-Soma-NT_5	mzML/TDP43-Soma-NT_6	mzML/TDP43-Neurite-KD_1	mzML/TDP43-Neurite-KD_2	mzML/TDP43-Neurite-KD_3	mzML/TDP43-Neurite-KD_4	mzML/TDP43-Neurite-KD_5	mzML/TDP43-Neurite-KD_6	mzML/TDP43-Soma-KD_1	mzML/TDP43-Soma-KD_2	mzML/TDP43-Soma-KD_3	mzML/TDP43-Soma-KD_4	mzML/TDP43-Soma-KD_5	mzML/TDP43-Soma-KD_6
P13804	P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	3920540	3934590	3597550	3208600	2824600	3126580	6254650	5683590	5882330	5817290	5948310	3338840	3668420	4107570	3460940	3303670	3252160	5633870	5694020	5824410	6004250	2156440	5513010	5527990	3636160	3533510	3667430	3438680	3614340	3625340	5001020	6237620	5660280	5816530	5453130	5106490	3725470	3714150	3691160	3725160	4081350	3963730	5516720	5484830	4903990	5813800	5442130	5700570	2964780	2773640	2720790	2675490	3040000	2458190	5082140	3990290	5144760	4718950	4849260	2092540	2726730	2946710	2835820	2881250	3394170	2756800	5849140	5470680	5751040	6071840	6223030	1814380
P13807	P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle	2563160	2676940	2581720	2119360	2161300	2281870	2021200	2096910	2003140	2089150	1993230	2550560	2379310	2597130	2428570	2298050	2658880	2250550	2158440	2068520	2129060	559915	2190690	1739120	2100890	1777050	2350640	2551930	2560750	2543620	2002430	1699950	2135350	2133770	1989670	1685970	2826870	3164080	2588730	2859110	3064110	3101200	1886020	1793590	2028080	1697130	1711140	1731820	2375600	2375030	2656560	2483300	2281270	2248180	1571410	1297760	1431950	1280100	1438330		2516190	2704780	2585610	2990750	3035730	2732340	1439650	2038030	1708830	1763750	1739250	
P13861	P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	10026000	9704290	9638920	10179800	9837360	9648300	11717200	12738500	12123100	12335700	12033400	11026300	10370700	10436800	10795300	10528100	9922190	13505900	13556800	12677700	13712400	9085180	13167300	12534500	9911660	9719560	9816020	10886600	9964580	10144600	12932700	11170200	12216200	11299900	12637900	12296000	9258380	9232750	9689370	9270570	9495450	8791850	12060600	11606900	12319800	12750100	11118700	13166300	11204500	11583600	10936600	11050100	10655100	11259700	15155700	14907000	14615000	16217000	15402300	10135500	11838300	11296300	11253400	11613700	11718500	11499200	13628600	13452900	13166000	12964000	12046000	9700910
P13929	P13929	ENOB_HUMAN	ENO3	Beta-enolase	2463830	2767890	2662720	2713010	2626270	2293700	1726380	1712000	1682910	1833720	1823210	2358860	2213080	2176470	2337680	2045170	2117170	1633170	1534920	1635340	1785880	1129330	1541900	1944000	2532850	2801890	2479340	2204210	2280060	2342740	2198120	1762910	1997470	1843250	1701440	1856890	1879310	2049260	2016800	2295050	2056810	2013800	2145330	2112480	2045790	1855230	2046330	1828060	1558380	1483040	1539720	1697160	1491800	1839610	1266980	941404	1221380	1121240	1212070		1753060	1505470	1613970	1698630	1783580	1756440	886978	845459	1039310	913075	1033150	
P13984	P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2	302239	375726	327214	273385	293313	371617	2902290	2748650	2583750	2742240	2992410	270442	424584	324244	413015	295499	197736	2832240	2974770	2768560	3024740	3723950	3144490	3003450	232911	340191	537057	469272	618841	388242	2721430	2394010	2802090	2486910	2993730	2829840	477186	588463	526118	425231	496808	678362	2690190	2555330	2533760	2619570	2621430	2748580	235944	243594	521025		260593	232405	2164500	3098760	2457870	2834700	2567950	3107340	256409	481591	138618	508175	299709	471012	2143530	2121880	2317300	2099540	2174110	2923530
P13987	P13987	CD59_HUMAN	CD59	CD59 glycoprotein	1248670	1184110	1173460	1161470	1084290	1144230			1199960	1599590	1018870	964907	1173420	1148680	891602	1062210	374163		966249		1091740	2549720			1131170	1541430	1254520	1285570	1016590	1238830	1405310			1093960	1699180	1555850		931397	899591	771989	921489		1494000	1507450	1220220				1465070	1258150	1364390	1424010	1353610	1478100	1311320	1875990	1548920	1282140	1404980	6757070	1421220	1424180	1632100	1457620	1216460	1356650	1146030	1091270	1333390	1261640	1206830	5465030
P13995	P13995	MTDC_HUMAN	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	3190150	2970620	2845380	2639440	2919790	2484160	5757080	6055530	5843040	5554240	5589040	3099680	2955640	3551770	2782830	2585820	2837990	6311720	6744440	6631150	6293570	3737960	5881770	4505540	2430320	2620430	2458950	2826850	2621800	2464760	4628010	6148300	6281420	5066990	5453380	6182960	3578140	3411310	3422300	3676260	3032580	2975120	6470250	5877450	5365320	6080010	5267190	5520480	1765170	1664340	1656120	1560690	1496410	1351460	5322440	3512680	4043790	3785380	3660040	1752730	1168830	1651810	1677160	1436120	1936090	1557930	3620890	3903040	4344580	4143280	3680860	2489990
P14174	P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	52853000	51248800	55942700	48135100	52317800	53377600	43184500	51034800	50458200	44663600	47122400	45005200	52368100	42766800	48922900	54228200	41246000	38038300	42611600	39344600	50213600	42950600	46388200	51743700	55282000	18725600	52520200	61936800	73586400	54335300	54935800	52410900	53577800	43156700	49075500	66530500	33173400	31536700	30987900	37957100	42066900	29418300	44863900	35978200	49047900	35951100	45341200	50047600	29789600	56125800	36665500	38732300	36751400	38925800	21289600	49236400	21959200	35141600	46360900	301753000	77365500	60471400	81159900	57599700	55211200	39031000	21465700	18947000	23134300	16542800	24780900	235513000
P14314	P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	4661380	4638310	4555150	4777030	4518270	4618440	7409610	7380410	7133370	8046320	7391790	4727320	4634650	4084470	4138360	4403930	3785920	7806640	7017800	7918550	7584610	20062200	6964780	7002060	4154880	5748090	4421420	4374680	4286900	4435820	6804260	7009580	6664340	7022820	7261240	6776980	4218210	4167650	4424690	4195700	4032680	3545860	6831200	7374140	7032550	7313190	7297090	6920000	4066880	4101970	4324780	4520840	4688810	4593580	7510240	10290100	7899910	7752380	7262740	22911800	4941380	4925710	4716840	5304120	5305620	4573870	7517340	7328880	7753260	7714690	7018020	22337800
P14324	P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	14565900	14615700	15089900	15406700	14135200	15932100	12924700	14272800	15093000	14353000	14284900	12854700	13430700	12678900	13381900	13747400	12533400	12977400	13009100	11604400	13175000	5988960	12953500	16033500	15978900	15428900	15172100	15337500	15762900	15596800	16650100	14367400	14461500	14457700	15633400	15012700	11592100	11459600	12453800	11418700	12050700	10554500	12646100	11198200	12532100	11954800	10662100	12755200	14279100	14578800	15040200	15225000	15032900	14798500	15401400	13492100	15209400	14336500	15760900	8117440	14003800	14055400	13965900	13805900	13761800	14196700	12477200	12087200	12367200	11704600	13444700	6890540
P14373	P14373	TRI27_HUMAN	TRIM27	Zinc finger protein RFP	207531	163731			80945.2		802030	821590	791060	736722	844708						121909	850527	724320	805100	755205	317802	756746	626464	202984						747036	750259	666118	654884	678076	593869		154550	147871	162293	130997	173891	793172	879828	800420	872572	651597	680439		238474	117900	192994	180371		670382	578501	738975	685549	683159			184315		215248		201598	662630	676900	706808	627609	626440	
P14406	P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	6846860	7118050	7189280	6801330	7764100	8116330	7538910	7951930	7632110	8431230	9141470	9042820	8281270	10119100	9268580	7988120	9857960	8390140	8933550	10215500	8047260	7665840	7854030	7074920	8068930	8318630	8411370	6385900	8541110	9437110	8263850	7437390	6970620	8047830	7809850	7900700	8851000	6777910	8072380	9826870	7864430	8153820	8326400	7827600	8843400	8706260	7854650	8029210	6977960	7897880	6084820	6226360	7555130	6691170	11275600	11734200	11191700	12374600	12005000	8214770	7149680	7651510	7934430	7314130	7950910	6818170	10524200	11704500	11382300	11979300	10401200	6852140
P14415	P14415	AT1B2_HUMAN	ATP1B2	Sodium/potassium-transporting ATPase subunit beta-2	1072370	1230610	1194620	1401910	1334040	1173400	1060770	1004490	1137150	1174700	916696	1282450	1452780	1475810	1424480	1643810	1517660	1410430	1407990	1245280	1019140	2036420	1225830	881664	1133420	1068130	1319660	1283710	1180100	1259390	968621	1092580	1365560	1270380	1403380	617466	1234770	1080180	1255740	1223500	946118	842167	771979	1092130	1011770	880078	1091960	833095	1489060	1267460	1220390	1348780	1432580	1436210	925292	1373970	1104390	1198410	828652	2277430	1276750	1443680	1659160	1450870	1328070	1280680	904052	1091710	824225	929713	803568	1207390
P14550	P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	20579400	21489600	19690300	19021700	20181100	19984300	15281400	15909300	15306200	15423600	16387100	17782600	17238600	17605800	18326300	16433100	21181000	14497100	15249200	14468300	14763000	10198400	15802800	15004100	21518100	22232600	21969300	21335200	21009000	22044900	15830900	16015700	16063600	15396400	16414700	15771400	19646300	19390100	18443000	19997200	18896500	19887200	13381500	12943200	14981300	13501300	13412100	14472300	16552000	17283100	18253300	17938800	17402600	17189300	13991900	12907700	13343500	12760000	13244600	4700810	15464900	15615700	14334600	16158200	15743100	15889000	10178800	9701740	8947630	8256400	10101600	5155050
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	128911000	130334000	132761000	133841000	143233000	140543000	64864800	67141700	64443400	66987000	68959500	119059000	129694000	133032000	134355000	134553000	134069000	72983100	68153100	67905500	71121300	47098300	69679300	62980100	137732000	153569000	134354000	145560000	148542000	149903000	71615600	72179900	75413800	76444400	70409200	74044600	144634000	153578000	149383000	145510000	146780000	150799000	70999400	74207600	79149300	75632200	74110700	82373300	104012000	113630000	116845000	113544000	111532000	111970000	64657100	56348900	63242400	61996200	64311800	37620000	118924000	117458000	115745000	120395000	118124000	117666000	61821400	59303100	61794800	60084100	64803400	36417200
P14621	P14621	ACYP2_HUMAN	ACYP2	Acylphosphatase-2	407881	284275	293824	359023	329092	378507	297338	345109	349439	318554	313371	323259	315371	347048	380833	279389	282713	335740	348234	331104	280148	272641	218855	358450	376914	412089	314492	432118	430111	380359	440283	354500	376462	399273	447550	398493	239462	173464	296775	238189	254006	189257	347689	395501	389544	379661	464312	363186	604472	518512	559354	497828	572742	523667	502758	552587	458975	618509	501222		595102	438757	467079	422872	373252	577195	411998	378314	214876	253773	292934	
P14625	P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	16754200	16466200	16825700	15987700	16745100	16278500	30973100	31819700	30210400	30190400	32033800	16647000	16505200	16691600	15966500	15955500	17569600	30069400	31401500	32238900	31414000	24819000	30117600	27481600	17660300	16498300	16835500	17891000	17269600	17390300	28132700	29997100	30766700	29859900	27697800	28624900	21283900	21919400	21982200	21497300	19634800	21142300	27941200	28865200	29610900	30873900	30916100	27553500	13021600	14288000	14518700	14232200	14078000	14471400	28099200	26498400	28627800	30486500	28506100	26401700	15159700	16526900	15555800	15608400	19170800	15515100	29183900	28876900	28855100	30491200	28600000	21908900
P14649	P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B	842168	825235	826521	780150	656406	772974	364442	503312	361251	556734	441427	680944	780934	639642	643230	757127	586524	331893	485369	530367	289671	1763620	524491	493523	576607	601044	553369	706408	686896	859311	793842	552840	452593	478060	441107	510324	534188	539156	516269	537465	539449	495392	347843	526634	481321	316119	479074	586409	858611	1027270	883369	937955	943181	924912	751618	1467220	763932	1007750	1165870	3204840	946022	1126380	1002360	1092620	799470	991634	989962	698660	795834	1313840	737397	2899020
P14678	P14678	RSMB_HUMAN	SNRPB	Small nuclear ribonucleoprotein-associated proteins B and B'	811823	866971	1263350	766114	867259	839208	2145470	2534760	2543450	2113740	2915890	909314	990262	1589710	927623	874291	1210350	2741710	3311540	3611330	3501220	3668780	3225770	1881640	814019	709511	492687	790394	816574	697166	1648730	3113780	2467620	2273340	1955710	2670310	1483220	1735660	1657310	1513700	1263680	1500670	2446470	2881610	2322940	1959210	2263360	2362790	855112	896172	831074	750188	893354	865645	4174290	5557350	4154090	5205520	3909110	2087310	963058	1053640	1039280	879873	1275920	1076090	4623920	4585950	3735150	4446730	4219530	2827360
P14735	P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	1084790	958695	1064800	967789	939898	907859	671640	691987	716708	750641	672144	1041090	1038670	1027500	1023920	1010410	1079410	731855	747222	710446	741881		841550	655844	960564	1005230	1081690	1023330	1044940	1059010	588165	570417	550950	691553	865982	835700	1350150	1316920	1300440	1304790	1206760	1287430	586231	779495	723711	675709	813432	701087	977028	1010910	1136680	1036100	986183	1033690	531146	684042	629194	571090	606417		1001330	1037710	979331	1054260	1186900	986875	536242	520148	580839	486761	579460	
P14854	P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1		900521	797983	719830	706932	493349			765139		1037550	891367	444518	616085	741530	190895	528151			208131	782176	3442990	641170		690207	590093	819639	893531	796779	409342	1038920	914153	612625		455247	716146	558535	684124	552632	638494	670934	547044	264966	546921		750103	579058		2183820	2382250	2141750	2328740	2114050	2007900	2581250	3322140	2915300	2178110	2885070	13616700		1770490	1722830	1502760			2372430	2356330	2980400	2530890	2511150	10229700
P14859	P14859	PO2F1_HUMAN	POU2F1	POU domain, class 2, transcription factor 1	76520.8	171055	108675	31441.2	81694.1		461801	377348	405976	450564	419752	57548.9	53229.5	73566.7		71759.5		516136	474323	523835	470321	441548	483295	384787	62213.3		70809.7			92839.2	418543	376804	427373	419875	435697	451879	207581	150349	150934	229167	88509.2	123759	400155	454641	447853	385857	425082	438609							220560	202604	292963	264622	327624								246654	279772	408486	233919	301939	
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	5872700	6129850	5454130	3598570	3634040	3617850	20518900	20498600	21419600	20911500	23625700	3818730	3363860	4218970	3706950	2723670	4398600	20766700	21716400	23815800	23815600	13142700	25639300	22289200	5460120	4425800	5136370	6484540	5385580	5253770	19241000	21011800	23479100	22838600	21812200	21048900	11114000	12755500	10867600	11514500	11014600	12469200	24924000	25890800	24513900	26650900	24742600	24324900	2833440	2992520	3696590	3232860	3078510	2813420	16206100	17054400	18515800	18338400	17335800	7746230	2667650	3431780	2913090	2996020	4391920	3306820	17855000	17531000	16992900	17383200	19037600	7777930
P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	4971340	4735200	4923430	3864030	4093140	3884330	7754580	7547760	7959270	7824500	8365220	3778370	3610090	4102460	3788960	3199700	4181550	7290720	7681560	7917110	7807650	3895350	6889290	7029510	4603060	4440330	4621230	5346800	5229340	4980000	7003320	7446640	7472780	7163820	7157290	7324920	7651530	8182690	7586020	7700210	7640380	8357640	7198330	7009450	6832620	6970320	6746810	6648780	4261550	4802640	5345300	4791660	4580140	4729830	9133590	7961660	9010070	9169240	8974800	4206590	4118780	4550570	4322950	4344950	5830000	4540700	9212690	9111860	9192780	9368080	8513190	4287370
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin	1035580	1045090	1065630	1124420	1033640	1134500	747994	770962	795400	689766	778651	1045860	1023720	1020710	999822	1069230	962789	671392	757748	763897	729474	359756	736437	647463	1054890	1060940	1058400	994939	918263	890318	649151	663979	659628	703152	694982	634715	805956	805672	814789	826688	800435	747433	641937	586477	613714	632984	594370	598578	1191970	1106270	1040440	1024480	1112180	945664	1018330	828659	850844	812614	833328	431572	1648880	1638860	1643750	1580380	1321010	1572350	1047230	1064060	1023590	1009300	1028730	707394
P14927	P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	2782890	2531750	2400520	2175410	2034380	2243710	4185850	3350340	3635080	3756030	3548240	2780730	2498210	2113150	2327030	2232470	1777090	3527530	3673770	3929080	3945300	24919400	3903610	3678500	2229630	2457160	2254890	2185210	2147130	2260060	4359640	3648280	4699040	3778760	3616640	3313880	1985640	1987350	1932120	1812140	2052180	1588820	3937490	3758580	3299740	3178530	4316130	3442360	1206190	1136640	1297210	1327600	1360140	1306160	1952430	4042260	2292480	2468030	2150560	24566900	1060500	1291860	1297740	1169240	1447310	1106660	1887730	1991290	3022810	2790970	2231690	18886200
P15056	P15056	BRAF_HUMAN	BRAF	Serine/threonine-protein kinase B-raf	780376	649202	648625	647733	614677	736495	465893	299208	343056	520545	302639	591006	604370	670918	498298	631274	491537	458062	339717	282583	310886			552409	339861	669319	594724	547063	667414	553343	375815	281820	362773	388149	485035	264610	837042	923864	737447	780996	747558	718377	348329	312859	401432	352024	187900	422521	689147	526008	785527	648111	514642	715112	371112	378885	338790	354673	367631		588240	455430	483016	430814	520246	491864	290852	308487	278709	303233	270048	
P15104	P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	294404	342993	366032	315919	298074	329452	479028	406404	445482	499457	470182	355247	458074	439796	482964	544896	526914	578804	599432	549086	603290	395802	596338	458038	345688	393639	364236	341777	273176	298463	485883	420672	549198	250433	512276	360112	275257	341760	239255	325036	242050	207841	392480	602767	505205	384077	415004	379951	422564	402848	397752	368523	338739	311334	639018	432342	617743	574969	636625		246961	288210	242761	341436	229637	353013	589254	482703	450568	401985	402672	
P15121	P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	17773900	19050700	18037500	18884700	21199100	19735400	12768800	13595800	13107100	11973400	13760800	19825800	20508800	21647700	22198300	20405300	21984200	13232900	14585800	13350200	13919700	8743790	12893500	13831300	19111800	18252000	17503700	20688100	20181600	20465300	15069800	12556300	13328900	12693600	12690800	13746900	18628200	18568700	18310700	19461400	18292100	19005400	12466700	11392600	14162400	11950800	10965800	13890300	21510300	21946800	21874000	20650800	21772000	22244300	15170600	14459700	13939800	13802700	14656200	5731580	20606700	20079000	21104700	20632000	19670900	20726300	12050800	10617200	11741500	10225700	11734100	6031520
P15151	P15151	PVR_HUMAN	PVR	Poliovirus receptor	637842	599997	582516	579174	535607	579184	613474	517435	557358	564931	650510	626678	651113	553931	573231	566113	531526	688175	554125	745515	633764	1219160	589748	566132	591435		598087	691756	607955	587096	633087	588404	534942	770967	593812	567787	507541	543331	517173	561150	406116	437636	537394	664260	532122	476183	634964	602592	559755	573977	523083	697692	619645	647670		978466		715073	729086	369902	437060	631803	532359	526952	388088	544570		548947	519103	592705		
P15170	Q8IYD1;P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	5513070	5276510	5183130	5110980	5497920	5206730	3776050	3709530	3970480	3719550	3556070	4863650	5128550	5295240	5327860	4970640	5195340	3582150	3866610	3620540	3686940	2201380	3524300	3574390	5164860	4730960	5074420	5374560	5682120	5396460	3662500	3570620	3505480	3358010	3322720	3639310	6078360	6701370	6287520	6204770	6299720	6257050	3893240	3577030	3742530	3761970	3257820	3850550	5005120	5136700	5406780	5260110	5422540	5618200	3324570	2918210	3187020	3388800	3221630	1494210	4837430	4904280	4820640	5127520	5299620	5189290	3073640	3216330	2883900	2812780	3219670	1097070
P15259	P15259	PGAM2_HUMAN	PGAM2	Phosphoglycerate mutase 2			111895	105659	103845	65733.7	28144.5	31501.8				116569	88258.7	93918.8	122772	114171	114431			40689.2	68320.7			21375.6	53153	2181550	69800.8	51554.2	61205.9	34114.2			18808.1		17401.6		43915.7		29768.3	40906	34568.5				27680.3							65347.7		78314.5		40812.1					102653	95330.4	71751.7	110184	94090.2	58595.1	57709.6	48967.3		79489.5	79317.9	
P15289	P15289	ARSA_HUMAN	ARSA	Arylsulfatase A	931992	783870	791193	847728	739176	827730	1528950	1512720	1496930	1341090	1632410	724147	707702	702445	710012	632067	727479	1248380	1326540	1364760	1370780	896839	1299510	1573400	835131	977619	859043	874896	810178	949191	1348510	1338530	1507680	1252100	1232400	1493500	1049550	908664	1134330	1101190	1016030	1043830	1574070	1463370	1513050	1642470	1671290	1522540	304808	305821	370480	322973	391155	362094	1002990	806605	1034710	959939	958709		283346	229769	391425	237805	336981	249978	810938	833308	785790	827539	747305	
P15291	P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1								106054	121612		76524.3										118757							14489.7			51940.5		54643.2			56607.6								54022.3	70436.6	58278.6												37795.3													80343.6	
P15311	P15311	EZRI_HUMAN	EZR	Ezrin	21077900	21798100	21019400	22965200	23624400	23052200	13398800	13750000	13477300	13659300	12553200	23061300	24853600	24412700	25172900	22710900	24649900	14998100	15015800	14539100	14789000	10209200	14481600	13595900	23080300	20997700	23147100	23263800	24051000	22686800	14261800	14040900	13269500	14751600	13565200	14077500	25730500	25408400	25393200	25110500	25392100	24317200	17435800	17151600	18241500	16201500	17589200	17827700	15134900	15827100	15498000	16034400	15825300	15806000	9385620	9608200	9162850	9395240	9164530	5020210	18906900	18270600	17333500	19173600	17925100	18168600	10598700	9553710	9682560	9528390	10645800	6961250
P15336	P15336	ATF2_HUMAN	ATF2	Cyclic AMP-dependent transcription factor ATF-2							277325	281978	262526	302764	296268							243035	177010	298430	230806	690802	232204	335696					111870	208207	368454	392170	256987	248614	299618	383810							214575	226498	217749	261105	205686	164871							330751	600105	299063	351168	288041	486503							607867	548301	437757	441454	373508	913426
P15374	P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	1787650	1727960	1745440	1707180	1581930	1530410	1309950	1498060	1588210	1513590	1497530	1416940	1390140	1097470	1224190	1370100	1215410	1398360	1150200	1217720	1512760	1205640	1199840	1706080	1712530	1429980	1697350	1706720	1476260	1628540	1765970	1506880	1435850	1462510	1535410	1622510	1251750	1205060	1208220	1268280	1115860	993878	1378290	1139740	1432310	1322270	1161480	1614470	1239420	1313280	1285990	1493000	1430680	1405820	1124140	1018770	1409020	1080320	1503240	2538360	1117880	1081680	1102010	1335850	1300310	1338750	899104	938544	1184960	997762	1216150	1426130
P15531	P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	38767400	37847000	34989200	39119300	37641900	38705700	21063900	24392600	22220800	21769000	24012700	34670500	36962400	35778400	38467800	40399700	36298100	24985200	27066900	24648300	23614700	54434600	23247400	23115300	34983300	36782300	38047600	36296900	34696300	38301400	22549200	23134900	20300400	21784800	22600600	24225500	28416600	24937700	25813600	25163000	27382700	23563900	20950200	20854000	21203000	19027700	19299600	23228500	35737200	36182700	36705000	38105100	38333900	35912100	26426900	40402200	25175700	29832900	25013700	77388000	39238000	39404700	40250600	41049800	38714200	41233700	25730100	26143800	25832300	24169600	24653400	73640400
P15559	P15559	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1	242026	158769	169419	163627		198424					151239	190609	203142	194587	54375.9	122854	188644			101975					241871	123123	120628	168663	131267	132821	121027	56793		93731.3	37334		318632	432234	322587	366735	312860	308333		227781			187951	88152.1				150256		223112								143503			155639	187311				166482		
P15586	P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	4412700	3807950	4151390	3933690	4016740	3887150	5735580	6117690	5890130	6218410	5649030	3937870	3596450	3917560	3579920	3735560	3814380	6180770	6107870	6901490	5646230	9052830	5938400	4831490	3646560	3302020	3858620	4121380	3802880	3344140	4649080	4708200	5495880	5463820	4865980	4637500	5007540	5805320	5915470	5424350	5184440	5643980	5734620	6244600	5274040	6081220	6371460	5584300	2275990	2684110	2445000	2424070	2319220	2206570	4178700	4262280	4484540	4237280	3948240	4831220	2232180	2557390	2179350	2132890	2953120	2017990	4760100	4879460	4326920	4205040	4281780	5050110
P15848	P15848	ARSB_HUMAN	ARSB	Arylsulfatase B	662487	627705	655092	721320	735839	656675	1273330	1428480	1415260	1320140	1469840	613716	627030	623729	653139	676608	622767	1068370	1342800	1442510	1390200	939000	1229040	1347010	872462	664516	731437	862766	677810	739333	1357450	1166650	1242670	1320370	1314670	1221290	965482	895111	942192	845297	850701	869970	1279660	1153280	1316230	1208620	1164610	1170550	452652	497991	519660	523020	484372	515817	1225660	1204380	1340430	1158850	1331730		372198	437678	471808	412481	577775	448062	964051	884852	927637	914340	982161	898844
P15880	P15880	RS2_HUMAN	RPS2	Small ribosomal subunit protein uS5	4152610	3573990	3461540	2465500	2332910	2576300	12012500	11343700	11773200	10211600	11869800	2861620	2451950	3021370	2711760	2246430	2909250	10310800	10867600	10525100	11227000	3854810	11257000	11007300	3902900	3951270	3820860	4518100	4212680	3533540	12398600	11063500	12394200	12055900	12370300	10850700	6586920	8169850	6819270	7457920	7188700	7983270	11244200	11607000	11001400	11684800	11150100	10696200	2707540	2911110	3415310	3099040	2816160	2830210	9759090	7787490	9329420	8790230	10309500	3553770	2692080	3047590	2616360	2730540	3889300	2844270	9995010	9041520	10381100	10452400	10443800	3443950
P15882	P15882	CHIN_HUMAN	CHN1	N-chimaerin	585588	636468	619981	572834	514073	568899	498237	518553	461545	482866	427239	463265	471804	525561	476133	501330	534459	483674	384152	442754	459036	117457	542621	545534	577163	547153	586179	492929	624153	598352	492585	534156	523986	509211	596788	577024	615106	641144	509281	640847	587477	611628	535712	611380	599104	632707	591473	716325	778111	775339	786482	747077	760803	738496	675057	771122	757164	726334	702785		704954	648636	734637	680916	682195	629921	600962	578718	729172	534397	664345	
