sample_name,condition,control
Neurite_1,Neurite,Soma
Neurite_2,Neurite,Soma
Neurite_3,Neurite,Soma
Neurite_4,Neurite,Soma
Neurite_5,Neurite,Soma
Neurite_6,Neurite,Soma
