"","Protein_Group","Genes","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","[5] HS1.raw.PG.MS2Channel3","[6] HS3.raw.PG.MS2Channel3","[7] HS4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"21","O95696","BRD1",NA,NA,NA,NA,803.6516724,990.5527344,565.3609009,-9.58378137656751,4.10733487567179,-14.9513835860316,1.98883950513842e-06,0.000126775200920865,2.72233063596504,"DOWN"
"22","P04844","RPN2",NA,NA,NA,NA,468.8923645,799.9044189,973.3411255,-9.48331864497715,4.06427941927592,-14.4469622651905,2.49228169113152e-06,0.000126775200920865,2.65758208291453,"DOWN"
"23","P05161","ISG15",NA,NA,NA,NA,988.8064575,837.4873047,407.3881226,-9.44548162409037,4.04806355318159,-13.9508383324641,3.13463777676096e-06,0.000126775200920865,2.58843653458162,"DOWN"
"24","P05165","PCCA",539.2869263,937.5298462,1348.536133,1443.942627,195873.7188,212938.7656,219665.3906,-7.71314943321462,13.2673567616307,-22.9189894376421,1.16751636464486e-07,0.000126775200920865,3.30155519881593,"DOWN"
"25","P05166","PCCB",NA,NA,NA,NA,360.7677612,366.965271,386.2182922,-8.53978304479208,3.65990701919661,-14.2354159892655,2.74575423802487e-06,0.000126775200920865,2.62879406907113,"DOWN"
"26","P0C0S5;Q71UI9","H2AZ1;H2AZ2",NA,NA,NA,NA,2334.104248,919.973877,790.520813,-10.2215903816631,4.38068159214133,-14.1632244037171,2.83890925788424e-06,0.000126775200920865,2.61873681918336,"DOWN"
"27","P10412","H1-4",NA,NA,NA,NA,4177.971191,3954.413086,8259.467773,-12.330184173032,5.28436464558515,-17.5547691697476,6.88801016568325e-07,0.000126775200920865,2.98603020920721,"DOWN"
"28","P10909","CLU",NA,NA,NA,NA,895.2909546,847.2771606,984.6547241,-9.82705126082591,4.21159339749682,-15.7354034985354,1.42016994053741e-06,0.000126775200920865,2.81312053480005,"DOWN"
"29","P11137","MAP2",NA,NA,NA,NA,894.1970825,1160.02417,1305.241699,-10.1128166563211,4.33406428128047,-15.8259101435572,1.36742975911641e-06,0.000126775200920865,2.82289812840531,"DOWN"
"30","P11177","PDHB",NA,NA,NA,NA,367.0397644,397.3127441,355.2954712,-8.54613533459261,3.66262942911112,-14.2292097078179,2.75362390971304e-06,0.000126775200920865,2.62793418318662,"DOWN"
"31","P11940","PABPC1",NA,NA,NA,NA,826.0018921,835.574646,1112.468872,-9.84031426541454,4.21727754232052,-15.5886152377462,1.51073538936027e-06,0.000126775200920865,2.79696632920198,"DOWN"
"32","P16401","H1-5",NA,NA,NA,NA,763.7127075,930.8943481,1241.797485,-9.90739071347484,4.24602459148922,-15.4476275633854,1.6039955206662e-06,0.000126775200920865,2.7810964858715,"DOWN"
"33","P17480","UBTF",NA,NA,NA,NA,405.4090881,370.1885376,763.8705444,-8.92728966119131,3.82598128336771,-13.7275065730104,3.48426411041975e-06,0.000126775200920865,2.55538666468545,"DOWN"
"34","P18583","SON",NA,NA,NA,NA,4976.933105,6372.817871,5668.833496,-12.4627879536887,5.34119483729514,-18.8162690340076,4.34592400694505e-07,0.000126775200920865,3.08162985130939,"DOWN"
"35","P18858","LIG1",NA,NA,NA,NA,833.1010742,935.8493042,759.6103516,-9.7155884542478,4.16382362324905,-15.5739049283533,1.52017025490191e-06,0.000126775200920865,2.79532688923678,"DOWN"
"36","P19021","PAM",NA,NA,NA,NA,1507.236084,2274.139893,2055.022217,-10.9053420784052,4.67371803360222,-16.6364159572903,9.83103670392183e-07,0.000126775200920865,2.90465096092426,"DOWN"
"37","P20839","IMPDH1",964.3637085,1216.561401,1472.327637,1119.005981,28139.00195,19416.79883,28201.77344,-4.39827687007155,12.0896910243328,-21.3740583291706,1.86025822504877e-07,0.000126775200920865,3.23180704989774,"DOWN"
