"","PG.Genes","row_mean.HN_L","row_mean.HS_L","row_mean.HN_H","row_mean.HS_H"
"94","EML1",9035.34826675,8162.18619833333,768.282325775,695.3380534
"95","IGF2BP3",3412.69128425,39829.4140633333,97.9940134566667,349.5940196
"96","DNM1L",102970.3085825,67976.7057333333,NA,372.5104828
"97","RTCA",9726.584228,17880.6660133333,NA,192.830474866667
"98","PIK3C2A",983.938400175,1791.52933766667,NA,NA
"99","SYT5",4312.64721675,2065.59431933333,218.06666054,285.845672633333
"100","GFRA2",1655.57504275,477.066752133333,NA,NA
"101","PIK3R2",2964.86071775,871.726826833333,NA,NA
"102","GOLIM4",32911.5546866667,5561.98339866667,NA,NA
"103","MANBA",951.57218935,4961.33951833333,NA,151.01248552
"104","AGRN",4230.10992425,6431.43929066667,NA,903.440694166667
"105","EXOC5",13988.2563475,7929.63492833333,NA,NA
"106","NDUFA4",27659.7890625,25309.1972666667,NA,548.5578003
"107","PSMD14",7798.5926515,9003.75488266667,NA,81.640724165
"108","ZNF593",846.617879233333,1390.65936253333,NA,312.8222885
"109","BIN1",22884.2021475,6268.40201833333,85.6581635575,132.526336653333
"110","KPNA3",27940.768555,23571.4140633333,NA,217.95495605
"111","STK25",2670.12451175,2352.60709666667,NA,1638.49393733333
"112","USP9Y",29698.56494,20733.24479,NA,99.6244939166667
"113","FAAH",2465.57952875,3318.33789066667,133.87240981,115.912895823333
"114","KRIT1",2474.13061525,2739.14396166667,4104.415771675,12390.6987316667
"115","VWA5A",16790.318115,7784.04996733333,158.0486984,150.499046333333
"116","CACNA1A",822.42816165,NA,NA,NA
"117","SDCBP",7283.56561275,5580.37068666667,NA,NA
"118","PITPNM1",15732.0646975,9625.62890633333,NA,273.338134773333
"119","MPHOSPH10",3290.24873833333,8833.29866533333,NA,1058.89788833333
"120","NOP56",2333.85784925,9921.67089866667,NA,39.358935355
"121","DDX3X",9834.2099605,60656.3268233333,1252.77159125,1502.68145733333
"122","PIR",2346.11082455,9403.138672,NA,NA
"123","KPNA4",5117.06835925,4308.142904,NA,36.0987812666667
"124","PPP6C",5517.0615235,7694.950521,365.12903594,110.87691371
"125","NME4",525.0447464,1658.386597,NA,43.5300169
"126","PIK3C2B",5817.0356445,4144.993815,NA,56.5939102166667
"127","MAN2B1",3525.789795,9698.73860733333,NA,124.51159289
"128","PDXK",9414.83788975,6688.838216,859.790445866667,647.259908033333
"129","SCD",1283.070266825,7737.51676433333,NA,1290.47135433333
"130","ARID1A",4119.01067966667,7649.36507166667,NA,152.1521301
"131","C2CD2L",3750.2332765,2517.63110366667,NA,68.54789097
"132","ASTN1",2525.85632325,1852.100342,NA,494.446319566667
"133","TXNDC9",2255.6166995,2744.90153,NA,NA
"134","DPYSL4",65158.95215,30414.9681,NA,156.13858413
"135","TRAFD1",1464.662109425,141.17523768,NA,NA
"136","COX7A2L",11063.73535275,8794.90852866667,NA,NA
"137","ARHGAP33",2219.48580925,2127.24141466667,53.13716921,73.134986875
"138","UBFD1",22365.5253925,12130.05599,315.65100352,1169.416990475
"139","DYNC1I1",16589.321045,9680.46777266667,2030.120163125,NA
"140","CIT",1638.980896,1825.05322266667,NA,NA
"141","COPE",7730.2698975,17070.73112,NA,141.153607676667
"142","AP3D1",9317.89257725,6903.50439433333,NA,NA
"143","CCS",5260.11767575,5385.233317,256.469347,326.045786533333
"144","ABLIM1",4896.07421875,1893.35892766667,NA,NA
"145","DVL1",4123.32250975,3011.518962,174.3413839225,511.367308293333
"146","DVL2",975.9916585,1183.68428566667,NA,283.237408933333
"147","CHD1",5884.66223125,25873.1328133333,NA,2446.30131
"148","GOSR2",2839.80310075,3438.852783,183.856910696667,84.2612059766667
"149","TOR1A",4171.5805665,5096.288737,150.618401853333,222.752362566667
"150","TOR1B",1307.6442871,2066.96765133333,354.4568319225,465.424265533333
"151","STX16",5814.54663075,3952.92472333333,1003.11647045,1062.43656416667
"152","ADAM10",6362.36682125,5051.229899,NA,94.950403205
"153","EI24",13549.29175,15508.7731133333,447.973190275,439.672119133333
