,JR_7961_S11,JR_7961_S12,JR_7961_S13,JR_7961_S14,JR_7961_S15,JR_7961_S16,JR_7961_S17,JR_7961_S18,JR_7961_S19,JR_7961_S20
SNORA10,0,0.735094911547834,0,0,0,14.8325772951804,8.25467010547582,7.42500617026106,9.72481576443825,11.4390251581901
SNORA10B,0.439720337872642,0.501289426605122,0.25627461088002,0,0,2.68469023908779,1.75802818446189,1.61806146968665,2.07288900455812,1.92173107779584
SNORA11,0.770619840431301,0.342100461739075,0.585279781163253,0.0542065061943089,0.638944339453533,7.78984714980996,2.40456143673332,1.5948278935687,1.61527185530445,1.86597982209213
SNORA11E,2.3982949980353,1.08222416625848,0.675329035975699,0.987717347955532,3.15762501819338,21.518828276467,8.74951506702814,5.8238687577801,6.10379921891779,7.6945120359732
SNORA12,0.771812927682558,0.446561240392096,0.427837564689204,0.164342384508045,0.368601733075913,3.8975032893199,2.01816587838389,2.32277904212069,2.94385426460828,3.0749565715856
SNORA14A,0.168095537501354,0,0.118056201834352,0.0546697019269266,0.249756632619125,2.19806509531224,0.945381265882463,0.993457951732742,1.0803832457684,1.13306806017677
SNORA14B,1.96058880752975,1.0347936379882,0.472098198610671,1.09310088742726,2.99627604103337,28.9760177060628,16.1493576028988,20.336780270353,15.4908158613826,12.3448188011836
SNORA16A,1.61092330345318,0.438684683195478,0,0.667408913601318,0,6.91581438573299,4.54404908128838,4.35432489281239,4.37124629087812,2.57612325004194
SNORA17B,1.46487712666856,1.47956089916523,0.904485940352624,0.593838823277056,0,10.3201435632741,5.77877311361725,6.37037131423392,6.53311940589312,8.73722400530126
SNORA18,0.537368516008169,0.212051081323615,0.314092793972881,0,0.35168475234475,25.8628663813409,14.1663825985546,10.7332208421393,8.24955044890285,7.1323462869434
SNORA20,1.27491210720857,1.54034504493437,0.644181203287053,0.488141540617346,0.96217970931163,15.3254082163314,7.66643675282492,4.45872156652714,6.46966369883525,7.21826169099782
SNORA21,1.3037057204675,0,0.282754640904862,0.786842371264163,0.767252230416719,1.76280994470802,0.70195344689353,1.66310047097833,0.893247478697184,0
SNORA22,0.496518972436995,0.169854619737045,0.181330898760771,0.215310448868804,0.38252600564288,16.1973996687063,10.6030327759867,7.26629796695117,6.74347954699464,8.70348303980276
SNORA22C,0,0.0840412936128787,0,0,0.126178416203078,1.76358008859761,0.961368087825611,1.06013653465606,0.778485803970662,0.861236729161783
SNORA23,0.569465744445087,0.868922775074811,0.193707108011713,0.400410154079064,0.706119893235145,23.3256544620705,12.9643331386755,10.2935898555413,13.9800270405636,11.5375570861717
SNORA24,1.04564930731163,0.96423637935207,0,0.377038382266593,0.404489123222685,19.9952171286706,9.49580874756422,8.77603003091793,8.12269829755824,11.9947135901214
SNORA26,0.0754093585934729,0.225433669384765,0.0963268308309327,0.0812736112141348,0,3.77275661362425,2.2129453712396,1.92705452449299,2.18734741574784,1.3653019541331
SNORA27,1.02216384460597,0.464423015718153,0.675723787991033,0.286607114453455,0.631139489996298,6.45993896605462,3.24568336752663,1.82078081961884,2.09455362302815,1.70272638173246
SNORA2A,0.0560168230722786,0.172465606331367,0.177036824479002,0.054655044371363,0.0624224175215285,1.22649810396033,0.862942772673981,1.13507610811273,0.909552490943564,0.785999698951764
SNORA2C,8.28086080480003,5.66971572521713,3.66293209572913,4.46466572640448,7.0455406040874,21.0545849674814,12.1580519624426,13.2864113407299,13.627831313739,14.8171216734662
SNORA31,0.212054393724374,0.0434743490525429,0.209511903458785,0.107535175394277,0.370109814639427,7.75274341354188,5.41733548429942,4.533852086639,6.60547399887535,4.7384493923526
SNORA31B,0.391750823727478,0,0,0,0.420454801892134,11.9382901056551,7.41320923218933,5.71214961920797,8.02950607649418,8.58160724039421
SNORA33,0.109337904584509,0,0,0,0,1.77143275894295,0.847191705035034,0.60361050870336,0.755946949599623,0.734242594724976
SNORA35B,0.107708050330141,0.516797418161746,0.306308207994473,0.0530725258084946,0.118432447800028,3.48619088678627,1.84166715736004,1.65340164771537,1.73761785953384,2.15937570797203
SNORA37,1.15031590398973,0.424130286624757,0.424014374411685,0.591397812945826,0.952235870919465,6.42107798957293,3.41655096389158,3.44272424642976,3.22613453161852,2.77034414403937
SNORA38B,0.711831383807141,0.528331978327056,0.903892450436545,0.214311077238071,0.697009969830407,3.48558144547143,2.72746509518986,1.80814279220024,2.5675293747772,2.11861773693782
SNORA40,0,0,0,0,0,0.68778664219301,0.577208664214771,0.685347093639389,0.727629716695186,0.607939151269038
SNORA40B,0,0,0,0,0,2.40993935301655,0.78902737953905,0.87633326969901,1.33022681436621,0.61748873790462
SNORA47,0.49793768374248,0.26362134802945,0.300676286921273,0.278475551933235,0.566455844063606,4.69333026034245,2.59621830939218,1.90541749332173,2.37156775241267,2.98914839369021
SNORA48,6.69389832349114,4.31810761852159,2.25285260377012,2.94727326772575,6.6552908888928,36.9203525499398,17.5629811420777,18.9943162983205,15.7498393566941,21.5939199939501
SNORA49,9.80670207109375,8.6570472260886,3.50623932972466,4.31321422757335,8.52639209113785,53.9741127350589,31.908259381982,26.4998165417393,27.9132763566016,41.3163499564127
